drug_name;ap_name;expiration_date;realization
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;;;229
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;"Аптеки РУП ""Минскфармация""";;229
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Борисовский район;;33
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №321 от ЦРА №16 Борисовского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №167 от ЦРА №16 Борисовского района;31.03.2024;25
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №172 от ЦРА №16 Борисовского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №257 от ЦРА №16 Борисовского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Воложинский район;;4
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №318 от ЦРА № 123 Воложинского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №127 от ЦРА №123 Воложинского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №124 от ЦРА №123 Воложинского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Дзержинский район;;21
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №62 от ЦРА №218 Дзержинского р-на;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №225 от ЦРА №218 Дзержинского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №217 от ЦРА № 218 Дзержинского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №213 от ЦРА №218 Дзержинского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Жодино Смолевичского района;;8
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          ЦГА №192 Жодино;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №189 от ЦГА №192 г.Жодино;31.03.2024;5
