drug_name;ap_name;expiration_date;realization
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;;;309
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;"Аптеки РУП ""Минскфармация""";;309
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;18
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №321 от ЦРА №16 Борисовского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №137 от ЦРА №16 Борисовского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №167 от ЦРА №16 Борисовского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №260 от ЦРА №16 Борисовского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №257 от ЦРА №16 Борисовского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №36 от ЦРА № 118 Вилейского р-на;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;6
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №127 от ЦРА №123 Воложинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №124 от ЦРА №123 Воложинского р-на;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;12
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №14 от ЦРА №218 Дзержинского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №31 от ЦРА №218 Дзержинского р-на;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №69 от ЦРА №218 Дзержинского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №218 Дзержинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №213 от ЦРА №218 Дзержинского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦГА №192 Жодино;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №1 Клецкого района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №95 от ЦРА №97 Копыльского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №82 от ЦРА №97 Копыльского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №64 от ЦРА №28 Крупского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №24 Логойского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;12
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №164 от ЦРА №182 Минского р-на;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №182 Минского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №190 от ЦРА № 182 Минского р-на;31.03.2024;5
