drug_name;ap_name;expiration_date;realization
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;;;385
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;"Аптеки РУП ""Минскфармация""";;382
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Березинский район;;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          ЦРА №19 Березинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №220 от ЦРА №19 Березинского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №222 от ЦРА №19 Березинского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Борисовский район;;41
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №272 от ЦРА №16 Борисовского района;31.03.2024;7
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №167 от ЦРА №16 Борисовского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №172 от ЦРА №16 Борисовского района;31.03.2024;6
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          ЦРА №16 Борисовского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №215 от ЦРА №16 Борисовского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №263 от ЦРА №16 Борисовского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №257 от ЦРА №16 Борисовского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Вилейский район;;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №119 от ЦРА № 118 Вилейского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Воложинский район;;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №318 от ЦРА № 123 Воложинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №124 от ЦРА №123 Воложинского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Дзержинский район;;29
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №14 от ЦРА №218 Дзержинского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №31 от ЦРА №218 Дзержинского р-на;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №62 от ЦРА №218 Дзержинского р-на;31.03.2024;7
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №63 от ЦРА №218 Дзержинского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №69 от ЦРА №218 Дзержинского района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          Аптека №225 от ЦРА №218 Дзержинского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          ЦРА №218 Дзержинского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1; - Жодино Смолевичского района;;13
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;          ЦГА №192 Жодино;31.03.2024;8
