drug_name;ap_name;expiration_date;realization
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;;;427
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;"Аптеки РУП ""Минскфармация""";;427
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №19 Березинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;56
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №272 от ЦРА №16 Борисовского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №321 от ЦРА №16 Борисовского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №137 от ЦРА №16 Борисовского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №167 от ЦРА №16 Борисовского района;31.03.2024;20
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №172 от ЦРА №16 Борисовского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №16 Борисовского района;31.03.2024;4
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №215 от ЦРА №16 Борисовского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №263 от ЦРА №16 Борисовского района;31.03.2024;8
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №266 от ЦРА №16 Борисовского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;7
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №191 от ЦРА № 118 Вилейского р-на;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №36 от ЦРА № 118 Вилейского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №124 от ЦРА №123 Воложинского р-на;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;28
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №31 от ЦРА №218 Дзержинского р-на;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №62 от ЦРА №218 Дзержинского р-на;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №63 от ЦРА №218 Дзержинского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №225 от ЦРА №218 Дзержинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №218 Дзержинского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №213 от ЦРА №218 Дзержинского района;31.03.2024;6
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №102 от ЦГА № 192 г.Жодино;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;6
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №1 Клецкого района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №5 от ЦРА №1 Клецкого района;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;7
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №97 Копыльского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №82 от ЦРА №97 Копыльского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;25
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №64 от ЦРА №28 Крупского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №28 Крупского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №67 от ЦРА №28 Крупского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;8
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №88 от ЦРА №90 Любанского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №90 Любанского района;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №81 от ЦРА №90 Любанского р-на;31.03.2024;3
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;58
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №98 от ЦРА № 182 Минского р-на;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №306 от ЦРА № 182 Минского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;ЦРА №182 Минского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №153  от ЦРА № 182 Минского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №22 от ЦРА № 182 Минского р-на;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №34 от ЦРА № 182 Минского района;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №99 от ЦРА №182 Минского района;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №190 от ЦРА № 182 Минского р-на;31.03.2024;5
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №212 от ЦРА № 182 Минского р-на;31.03.2024;2
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №139 от ЦРА №182 Минского района;31.03.2024;6
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №141 от ЦРА №182 Минского района;31.03.2024;10
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;Аптека №156 от ЦРА № 182 Минского р-на;31.03.2024;1
Амброгексал р-р для приема внутрь и ингаляций 7,5мг/мл 50мл флакон №1;#ИМЯ?;;34
